movie_id,title_th,title_en,overview_th,overview_en,release_date,popularity,vote_average,vote_count,genres,poster_url
1022844,รัก(เลือก)ไม่ได้,Even If,,A short film that tries to reflect the issues of bullying and excessive violence in school. Alongside it represents the LGBT’s perspective of being treated badly by society.,2022-08-03,0.049,0.0,0,"10749, 18",https://image.tmdb.org/t/p/w500/2Ago1D4zvAYOn7O2vSOkwd56JFC.jpg
986208,สาย สีมา นักสู้สามัญชน,"Sai Sema, Commoner Fighter",,"A story of young lawyer from farmer's family fights for class struggle. From rich and high society to poor and low caste, he fights in the circle for new changes in Thai society.",1981-06-27,0.035,8.0,1,18,https://image.tmdb.org/t/p/w500/mYLi9VtaT4ZJHuhPbGDgOcgcfmZ.jpg
746637,Kiss: Rock and Roll All Nite (Live Version),Kiss: Rock and Roll All Nite (Live Version),"Kiss แสดงในมิวสิกวิดีโอ ""Rock and Roll All Nite"" จากอัลบั้ม ""Dressed to Kill"" ที่บันทึกไว้สำหรับ Casablanca Records",,1975-04-02,0.035,7.0,1,,https://image.tmdb.org/t/p/w500/j9jcYmybTiHzKPICWi8eL3VfFxG.jpg
730750,Digital Funeral: Beta Version,Digital Funeral: Beta Version,,One of my dreams is to organize my own funeral.,2020-08-09,0.049,0.0,0,99,https://image.tmdb.org/t/p/w500/4cB6aLe65n6lpfxM2trtz96sgBq.jpg
1337190,แฟนคลับอันดับหนึ่งของคุณ,FANCLUB NO.1,ด้วยเหตุผลบางอย่าง ทําให้ 'กอด' ไอดอลหนุ่มตัดสินใจพักกิจกรรมวง หายตัวไปจากวงการเป็นเวลา 3 เดือน คืนหน่ึง กอดได้เจอกับ 'จอย' วิญญาณแฟนคลับที่มาพร้อมกับ ภารกิจ 5 ประการ  ที่จะทําให้เขากลับมาร้องเพลงได้อีกคร้ัง... 7 วันที่โลกของศิลปินและแฟนคลับจะโคจรมาอยู่ด้วยกัน 1 โอกาสสุดท้ายที่ทั้งสองจะได้กลับไปแก้ไขเรื่องที่ค้างคาในหัวใจมาเนิ่นนาน,,2021-03-20,0.02,0.0,0,,https://image.tmdb.org/t/p/w500/ou1GDiB4kYJUge2pIgHLW2sQW4s.jpg
1288658,R e m i n d e r. (Director's cut),R e m i n d e r. (Director's cut),ความทรงจำ และจิตนาการ จากกล่องใบเก่าที่เรากลับมาเปิดดูอีกครั้ง,Memories and imagination from the old box that I opened again.,2023-03-16,0.048,0.0,0,,https://image.tmdb.org/t/p/w500None
1128077,Other side,Other side,ผู้ชายคนนึงเขาต้องเผชิญตัวตนอะไรบางที่ดูเหมือนเขาที่เต็มไปด้วยความไม่เข้าใจ,"A man face to face with something that looked like him, full of misunderstandings.",2022-06-19,0.048,0.0,0,"53, 27",https://image.tmdb.org/t/p/w500/qYeBKv0JFNFo0h65Sgjm5hVKX0O.jpg
988582,รัตนาวดี,Ratanavadee,,"Lady Rattanavadi travels to Europe via England. A friend of his brother volunteer to be a guide, but never be found when she arrives. She mad at him but meets with his driver instead. So she has to travel along with the driver. They fond with each other, but finally the driver is not really a driver.",1985-11-19,0.02,0.0,0,18,https://image.tmdb.org/t/p/w500/8SsKnNkH6G2NWTZKqq1zdKk5Sjt.jpg
972691,ดอกโสนบานเช้า,Blooming Sesbania,,The story of Pina and Nuansanow after they get married. They live together at suburban. Pina’s obsessed with his works and her feel neglected. She decides to become a model and meet Pajjai after that their relationships become chaotic.,1979-03-01,0.02,0.0,0,18,https://image.tmdb.org/t/p/w500/zQZgrQtNotmEhMGyEWBawPhi8TR.jpg
631359,ชะตาธิปไตย,Chatathiptai,หนังบันทึกบรรยากาศการเลือกตั้งและเหตุการณ์หลังจากได้นายกรัฐมนตรี ยิ่งลักษณ์ ชินวัตร โดยติดตามสามผู้สมัคร ส.ส. ที่เป็นเพื่อนสนิทกันเมื่อครั้งเรียนมหาวิทยาลัย แต่ดันลงสมัครผู้แทนฯจากคนละขั้วพรรคการเมือง  มิตรภาพกลายเป็นการแข่งขันในสนามการเลือกตั้งครั้งที่คึกคักและดุเดือดที่สุด ...นับจากสลายการชุมนุมมาสู่น้ำท่วมใหญ่ พ.ศ.2554  ผลงานการกำกับของ เดชา ปิยะวัฒน์กูล ผู้ซึ่งเติบโตมาด้วยกันกับสามผู้สมัครนั้น,,2019-10-03,0.048,0.0,0,99,https://image.tmdb.org/t/p/w500/gq841U6VZ4RANUBhiVKO4h723Ei.jpg
