id,thai_title,english_title,original_title,genres,status,cast,watch_platforms,content_type
8982,ต้มยำกุ้ง,The Protector,ต้มยำกุ้ง,"บู๊, อาชญากรรม, หนังชีวิต, ระทึกขวัญ",Released,"Tony Jaa (https://image.tmdb.org/t/p/w500/cs5NAQxyfAkUpWBZaLCbqE5LsMj.jpg), Petchtai Wongkamlao (https://image.tmdb.org/t/p/w500/3hmcqU1OfLZ5kbvl7url63VuWMJ.jpg), Bongkoj Khongmalai (https://image.tmdb.org/t/p/w500/k0bWAhyi0wkhRR7LYyDT3jmjJkD.jpg), Jin Xing (https://image.tmdb.org/t/p/w500/3UvHySObjdj5DlE29d4AtSUWEeM.jpg), Nathan Jones (https://image.tmdb.org/t/p/w500/hlu4qYy9JGPxGn0wT8Ea6mTWR8R.jpg)",Netflix,Movie
17111,ชัตเตอร์ กดติดวิญญาณ,Shutter,ชัตเตอร์ กดติดวิญญาณ,"สยองขวัญ, ลึกลับ, ระทึกขวัญ",Released,"Ananda Everingham (https://image.tmdb.org/t/p/w500/htFbRTxN2zWJDep87f7t7E3WM6x.jpg), Natthaweeranuch Thongmee (https://image.tmdb.org/t/p/w500/hyGTzDBUiYgO02ugn0NkMI1qAKH.jpg), Achita Sikamana (https://image.tmdb.org/t/p/w500/oEn4hSBAXeOmvpaZNXQUjadDSpM.jpg), Unnop Chanpaibool (N/A), Titikarn Tongprasearth (N/A)","Netflix, iflix",Movie
16353,องค์บาก 2,Ong Bak 2,องค์บาก 2,"ผจญ, บู๊, ระทึกขวัญ",Released,"Tony Jaa (https://image.tmdb.org/t/p/w500/cs5NAQxyfAkUpWBZaLCbqE5LsMj.jpg), Sarunyu Wongkrachang (https://image.tmdb.org/t/p/w500/leCtOYaDA2YhjfEd6CpwKiMRupD.jpg), Sorapong Chatree (https://image.tmdb.org/t/p/w500/fwgkd0rxIGzOOuw09NuunKZ2lL8.jpg), Nirut Sirijanya (https://image.tmdb.org/t/p/w500/4tKGCfBCVoTFd9qqIfZUnYDeBVx.jpg), Primrata Dej-Udom (https://image.tmdb.org/t/p/w500/iqihptmJJZiAxmoiKPTo2cozKMM.jpg)",Netflix,Movie
110552,ต้มยำกุ้ง 2,The Protector 2,ต้มยำกุ้ง 2,บู๊,Released,"Tony Jaa (https://image.tmdb.org/t/p/w500/cs5NAQxyfAkUpWBZaLCbqE5LsMj.jpg), Petchtai Wongkamlao (https://image.tmdb.org/t/p/w500/3hmcqU1OfLZ5kbvl7url63VuWMJ.jpg), Marrese Crump (https://image.tmdb.org/t/p/w500/byEZUQMa3ospb6dQDzJyWmTMror.jpg), JeeJa Yanin (https://image.tmdb.org/t/p/w500/73xhAKFbeNSlJTwUCsQCAtryLYS.jpg), RZA (https://image.tmdb.org/t/p/w500/2PVYCKXb1X3PLawJNoYGLN1x0In.jpg)",Netflix,Movie
1285282,แสนสนั่น พันธุ์สั่นสู้,Muay Thai Hustle,แสนสนั่น พันธุ์สั่นสู้,ตลก,Released,"Jirayu La-ongmani (https://image.tmdb.org/t/p/w500/vlviWuIBR72VFwnWVNCUjRg47aG.jpg), Sananthachat Thanapatpisal (https://image.tmdb.org/t/p/w500/mZA5s9gWldECvQ1bqy4ptdEWKIK.jpg), Chinawut Indracusin (https://image.tmdb.org/t/p/w500/l9mAeCBmC5m09vycsQEWzUgZGu8.jpg), Supathat Opas (https://image.tmdb.org/t/p/w500/cKKI0NwldZgePRCoVETkBQDD4Ge.jpg), Auttawut Inthong (N/A)",N/A,Movie
1071806,คนหิว เกมกระหาย,Hunger,คนหิว เกมกระหาย,หนังชีวิต,Released,"Chutimon Chuengcharoensukying (https://image.tmdb.org/t/p/w500/7R9ntFHCOh9FHeSByO9ElqrtCBl.jpg), Nopachai Jayanama (https://image.tmdb.org/t/p/w500/3lH30WSs7dmmYJqmBIQUF1jfrBQ.jpg), Gunn Svasti (https://image.tmdb.org/t/p/w500/Ocs1bIxNzpDMM45vPg6sgIvwAJ.jpg), Bhumibhat Thavornsiri (https://image.tmdb.org/t/p/w500/dppgLPEPal7HKlfk9Y4OAWZQnaK.jpg), Varit Hongsananda (https://image.tmdb.org/t/p/w500/ca3YhKunKy76u95EdVcX5V25j9G.jpg)",Netflix,Movie
1167366,ยูเรนัส 2324,Uranus 2324,ยูเรนัส 2324,"หนังรักโรแมนติก, หนังชีวิต, นิยายวิทยาศาสตร์",Released,"Sarocha Chankimha (https://image.tmdb.org/t/p/w500/xX6EZ24ZRFp8THxrAVLkL7Z0i4R.jpg), Rebecca Patricia Armstrong (https://image.tmdb.org/t/p/w500/nu8S97BFcsLQvyEDHvAfZonPwNM.jpg), Torfan Taweema (https://image.tmdb.org/t/p/w500/pC461qZHV3Ulg8KKa2GtU5i8uiq.jpg), Siriam Pakdeedumrongrit (https://image.tmdb.org/t/p/w500/dnCefUz5tXQ4q4Pscn8jfoBfbsy.jpg), Amarin Nitipon (https://image.tmdb.org/t/p/w500/5XPYOUBFso7eBTFjJ5tfOxZlTZx.jpg)",Netflix,Movie
1034337,ปฏิบัติการกู้หวย,The Lost Lotteries,ปฏิบัติการกู้หวย,"อาชญากรรม, ตลก",Released,"Wongravee Nateetorn (https://image.tmdb.org/t/p/w500/a7NmPKvwWxNr0hhBTa9kSNejVFp.jpg), Padung Songsang (https://image.tmdb.org/t/p/w500/7kSSfwkf9o83kR5pvfA84mdTgkQ.jpg), Phantira Pipityakorn (https://image.tmdb.org/t/p/w500/KUk7kG70HtBJbgVNHJtiNcvN7r.jpg), Napapa Tantrakul (https://image.tmdb.org/t/p/w500/5yr8N6yK9IBGL4CpBnkLvwtMmLS.jpg), Somjit Jongjohor (https://image.tmdb.org/t/p/w500/16F4ebo1ulAHQiuKCMaddXRHHl9.jpg)",Netflix,Movie
949429,ผจญภัยล่าขุมทรัพย์หมื่นลี้,The Adventures,ผจญภัยล่าขุมทรัพย์หมื่นลี้,"หนังรักโรแมนติก, ตลก, ผจญ",Released,"Sunny Suwanmethanon (https://image.tmdb.org/t/p/w500/8Nlfyrhcwan9A4UYw249R7KP4JI.jpg), Matcha Mosimann (https://image.tmdb.org/t/p/w500/iVWzZxs4RSziMAXl56CvDbpDe9S.jpg), Somchai Kemklad (https://image.tmdb.org/t/p/w500/b9nbxnkwKTviBbffQfuKmdlEgPc.jpg), Pongsatorn Jongwilas (https://image.tmdb.org/t/p/w500/yNatemxogO9JJ8pFXLLMMbBZxGE.jpg), Jarnnawut Jarnyaharn (https://image.tmdb.org/t/p/w500/nXKzoH1q2IiM4izSWJN6IXhuSQK.jpg)",Amazon Prime Video,Movie
709716,บึงกาฬ,The Lake,บึงกาฬ,"สยองขวัญ, นิยายวิทยาศาสตร์, ระทึกขวัญ",Released,"Theerapat Sajakul (https://image.tmdb.org/t/p/w500/tXwgi2csgYmO8uV7JLcAjkLSBp1.jpg), Sushar Manaying (https://image.tmdb.org/t/p/w500/6s2sDRwZwp9CDC4p7r2jrTkoltj.jpg), Supansa Wedkama (https://image.tmdb.org/t/p/w500/8uQ0NkKdTB8S3DYKSBGBj2cq43m.jpg), Thanachat Tullayachat (https://image.tmdb.org/t/p/w500/29Us7pUGUEk7VRDSgkqvF4HkYD8.jpg), Wanmai Chatborirak (https://image.tmdb.org/t/p/w500/4IeybBwABdbnvVVEMVaJaO7RW1D.jpg)",Amazon Prime Video,Movie
759923,พร้อมรุก ยัยตุ๊กตาซ้อมรัก,My Sex Doll,พร้อมรุก ยัยตุ๊กตาซ้อมรัก,"ตลก, หนังรักโรแมนติก",Released,"Pichana Yoosuk (https://image.tmdb.org/t/p/w500/gDuvpdQvrpoj9VaHVhVxKHmXOsk.jpg), Piamchon Damrongsunthornchai (https://image.tmdb.org/t/p/w500/aM49vonroRoTOq68cgUHB3yPum3.jpg), David Asavanond (https://image.tmdb.org/t/p/w500/5bZa7UFebv5xqgDNDLRqTlP7BGq.jpg), Suchada Pramoulkan (N/A), Ladapa Ratchataamonchot (N/A)",N/A,Movie
43209,องค์บาก 3,Ong Bak 3,องค์บาก 3,"บู๊, ผจญ, ประวัติศาสตร์",Released,"Tony Jaa (https://image.tmdb.org/t/p/w500/cs5NAQxyfAkUpWBZaLCbqE5LsMj.jpg), Primrata Dej-Udom (https://image.tmdb.org/t/p/w500/iqihptmJJZiAxmoiKPTo2cozKMM.jpg), Dan Chupong (https://image.tmdb.org/t/p/w500/hl3Xhzbf5Vpxfx9bcdDPsdlXmWB.jpg), Nirut Sirijanya (https://image.tmdb.org/t/p/w500/4tKGCfBCVoTFd9qqIfZUnYDeBVx.jpg), Petchtai Wongkamlao (https://image.tmdb.org/t/p/w500/3hmcqU1OfLZ5kbvl7url63VuWMJ.jpg)",Netflix,Movie
151512,จันดารา ปฐมบท,Jan Dara: The Beginning,จันดารา ปฐมบท,"หนังชีวิต, หนังรักโรแมนติก",Released,"Mario Maurer (https://image.tmdb.org/t/p/w500/wbBpsHWCgey3VsWw0GAAWrsYxc0.jpg), Chaiyapol Poupart (https://image.tmdb.org/t/p/w500/3W0QkmLv4D7313vQgbl9hUvz94C.jpg), Sakrat Ruekthamrong (https://image.tmdb.org/t/p/w500/nSoK7SckthDkR2huzCh3wOyszW5.jpg), Bongkoj Khongmalai (https://image.tmdb.org/t/p/w500/k0bWAhyi0wkhRR7LYyDT3jmjJkD.jpg), Savika Chaiyadej (https://image.tmdb.org/t/p/w500/5Nv3x0ouI0uMvPOFy6OHBpyL19T.jpg)",N/A,Movie
895001,ปริศนารูหลอน,The Whole Truth,ปริศนารูหลอน,"หนังชีวิต, สยองขวัญ, ลึกลับ, ระทึกขวัญ",Released,"Sompob Benjathikul (https://image.tmdb.org/t/p/w500/wVCr6sIdnpk1ycht9beG5iogNQ2.jpg), Tarika Thidathit (https://image.tmdb.org/t/p/w500/v6JQIZJQ9ipZ5BE3dmpwi3wIy0t.jpg), Sutatta Udomsilp (https://image.tmdb.org/t/p/w500/q6GWXOjha7cT2cPNJrALjg3nx6m.jpg), Nattapat Nimjirawat (https://image.tmdb.org/t/p/w500/eoTS659RndTnyugyLsTBztD5ImA.jpg), Nicole Theriault (https://image.tmdb.org/t/p/w500/d4D43FAtMNWncaUz1zLIoRuZrNZ.jpg)",Netflix,Movie
455714,ฉลาดเกมส์โกง,Bad Genius,ฉลาดเกมส์โกง,"หนังชีวิต, อาชญากรรม, ระทึกขวัญ, ตลก",Released,"Chutimon Chuengcharoensukying (https://image.tmdb.org/t/p/w500/7R9ntFHCOh9FHeSByO9ElqrtCBl.jpg), Eisaya Hosuwan (https://image.tmdb.org/t/p/w500/svWWPIe9KmkAfFDFFTm3vH0zHfC.jpg), Teeradon Supapunpinyo (https://image.tmdb.org/t/p/w500/vgpjzR4Hitaw8p2sj6VHwUrhTJZ.jpg), Chanon Santinatornkul (https://image.tmdb.org/t/p/w500/wYhYqg6xQXTfnCUVgmhl33SrnaM.jpg), Thaneth Warakulnukroh (https://image.tmdb.org/t/p/w500/kbxNQFbI8HscicB1Y1RkwDLV4us.jpg)",Netflix,Movie
1372141,แต่ง…Monk,Will You Marry Monk?,แต่ง…Monk,ตลก,Released,"Arak Amornsupasiri (https://image.tmdb.org/t/p/w500/eORS2OAm1DGEpkcLEaOAVyXsfWG.jpg), Patara Eksangkul (https://image.tmdb.org/t/p/w500/4QpvcHgbvlqW4IWjoB86OuyUrSv.jpg), Kornnaphat Sethratanapong (https://image.tmdb.org/t/p/w500/o4LWCrWYmLCIHTQnif78sb8Y4BZ.jpg), Jaturong Mokjok (https://image.tmdb.org/t/p/w500/tsMJfqFRED5EUThzhKcb6inYkVC.jpg), Chaleumpol Tikumpornteerawong (https://image.tmdb.org/t/p/w500/60bNnrzi0rDHYgha5tcOp56k3NQ.jpg)",N/A,Movie
40127,คนเล่นของ,Art of the Devil,คนเล่นของ,"สยองขวัญ, ลึกลับ",Released,"Alisa Wills (https://image.tmdb.org/t/p/w500/a8mKtcNwIiOGAdtBkAOazi3Tnxh.jpg), Supakson Ruengsomboon (https://image.tmdb.org/t/p/w500/xnz9oSdhvlwv4AJr2a5HLnbYXtc.jpg), Krongthong Rachatawan (https://image.tmdb.org/t/p/w500/999hg04TyJ7Dc4Ni8yLDYg9z1Ta.jpg), Tin Settachoke (N/A), Ittikorn Satutam (https://image.tmdb.org/t/p/w500/6l2CQXCq4NVCnUglfZmHZ4mTEdl.jpg)",Netflix,Movie
710871,โกสต์แล็บ..ฉีกกฎทดลองผี,Ghost Lab,โกสต์แล็บ..ฉีกกฎทดลองผี,"หนังชีวิต, สยองขวัญ, นิยายวิทยาศาสตร์, ระทึกขวัญ",Released,"Thanapob Leeratanakachorn (https://image.tmdb.org/t/p/w500/zZCYpbtAe4axyySy0TYS8eICujw.jpg), Paris Intarakomalyasut (https://image.tmdb.org/t/p/w500/dl9JYz99PjSJidpIMrd5RE6aVN8.jpg), Nuttanicha Dungwattanawanich (https://image.tmdb.org/t/p/w500/f7dQqnHOPlVdMCewFMsI50Kb9If.jpg), Suquan Bulakul (https://image.tmdb.org/t/p/w500/yDoeuok7GAkPBk7Gjcn5jnqYtkR.jpg), Rachanee Siralert (https://image.tmdb.org/t/p/w500/6mjVpe6jVMeSbbNk5YPqPcGgEUu.jpg)",Netflix,Movie
1216195,หอแต๋วแตก แหกสัปะหยด,Oh My Ghost : The Finale,หอแต๋วแตก แหกสัปะหยด,"ตลก, สยองขวัญ",Released,"Jaturong Mokjok (https://image.tmdb.org/t/p/w500/tsMJfqFRED5EUThzhKcb6inYkVC.jpg), Jaroenporn Onlamai (https://image.tmdb.org/t/p/w500/2sJ9WTEpCrWVHsbXVtiTy5QVLDo.jpg), Wiradit Srimalai (https://image.tmdb.org/t/p/w500/c3EruWu3WnC5OdmUATRFU53rFO8.jpg), Pantipha Arunwattanachai (https://image.tmdb.org/t/p/w500/eWgYvOOljNnjY6Y2CNV5WlK5b3K.jpg), Kanticha Chumma (https://image.tmdb.org/t/p/w500/fnZSH7TjZS1OAh8qT8s2etvb7iT.jpg)",Monomax,Movie
